name,home_bg,home_text,away_bg,away_text
RPI,#d6001c,#FFFFFF,#ffffff,#000000
NYU,#57068c,#FFFFFF,#7b5aa6,#000000
Army,#000000,#FFD700,#D4BF91,#000000
Syracuse,#F76900,#000000,#FFFFFF,#000000
Coast Guard,#003366,#FFFFFF,#99CCFF,#000000
Cornell,#CC0000,#FFFFFF,#FF9999,#000000
Columbia,#0033A0,#FFFFFF,#99CCFF,#000000
